FUA,Climate-related ambition and performance ,Land surface temperature,Carbon storage,Stormwater holding capacity,Biodiversity-related ambition and performance,Coastal habitat,Green/Blue Area,Protected Area,Social justice-related ambition and performance, Inclusiveness of project beneficiaries,Natural Area per Capita,Recreation potential,"Alignment of NBS Targets with Climate, Biodiversity, and Social Objectives ",Diversity of stakeholder involvement,Long-term perspective,Potential for high-quality project result delivery,,,,,,,
Adana,2,1,2,1,4,1,1,1,3,2,1,1,3,2,2,2,,,,,,,
Alexandria,2,2,1,3,3,3,1,1,3,1,1,1,3,2,2,2,,,,,,,
Belgrade,2,3,3,3,3,1,2,2,3,3,3,3,3,3,2,2,,,,,,,
Berlin,2,4,4,4,3,1,3,4,2,2,3,4,3,3,2,2,,,,,,,
Birmingham,2,4,3,3,4,1,2,2,3,3,2,3,3,3,3,3,,,,,,,
Cagliari,2,2,1,2,3,3,3,3,3,2,3,2,3,2,2,3,,,,,,,
Cartagena,2,2,2,1,3,4,4,3,2,2,1,1,2,3,2,2,,,,,,,
Ciudad Juárez,3,1,1,2,2,1,1,1,2,2,2,1,3,3,3,2,,,,,,,
Colombo,2,3,3,1,4,4,4,1,3,3,2,4,3,3,3,3,,,,,,,
Detroit,2,3,3,3,3,1,3,2,3,2,4,4,3,3,3,3,,,,,,,
Dublin,2,4,2,3,2,3,4,2,2,2,4,4,3,3,2,2,,,,,,,
El Alto [La Paz],1,4,1,3,3,1,1,3,2,2,1,1,3,3,2,2,,,,,,,
Fort-de-France,2,4,4,2,2,4,4,4,2,2,3,3,3,3,2,2,,,,,,,
Gdansk,2,4,4,4,3,3,3,4,3,3,3,4,3,3,3,3,,,,,,,
Gothenburg,2,4,4,4,3,3,4,3,3,2,4,4,3,3,3,3,,,,,,,
Iași,2,2,3,4,4,1,2,2,4,4,3,2,3,3,3,4,,,,,,,
Kunming,3,3,3,2,4,1,3,4,4,3,2,3,4,3,3,4,,,,,,,
Lima,2,2,2,4,3,2,1,1,3,3,1,1,2,2,3,3,,,,,,,
Lisbon,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2,2,,,,,,,
Marseille,2,3,3,2,2,2,4,4,2,2,4,3,3,2,3,3,,,,,,,
Miskolc,1,3,4,4,3,1,2,3,4,3,4,3,3,2,2,3,,,,,,,
Mobile,2,2,3,2,2,4,4,2,2,3,4,4,2,3,2,2,,,,,,,
Nairobi,2,3,2,1,3,1,2,3,3,3,1,2,3,3,2,3,,,,,,,
